,title,SponsorLevel,discovertotems_link,category,GPS_in_degrees_pair,discovertotems landing page url,GPS_in_scientific_pair,GPS_in_scientific_longitude,GPS_in_scientific_latitude,carvers,description,related_link,picture_link,geocache_link,pubdate,event start date,event end date
,Granville Island Salish totems,None,http://www.discovertotems.com/content/granville-island-salish-totems,Totem Pole,,,,,,"Xwa-Lack-Tun (Rick Harry), Sonny Assu, Dolores Dallas, Ben Gerow, Peter Moring and Daina Warren","A partnership between Emily Carr Institute of Art and Design and Granville Island resulted in master carver Xwa-Lack-Tun (Rick Harry) working with Emily Carr Institute First Nations student apprentices: Sonny Assu, Dolores Dallas, Ben Gerow, Peter Moring and Daina Warren.  The team of artisans completed the Salish houseposts on Granville Island in August 2000",http://spiritofplace.ecuad.ca/Rick.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/grandville%20island%20totems.JPG,,7/29/2010,,
,Nanaimo Petroglyph,None,http://www.discovertotems.com/content/nanaimo-petroglyph,Petroglyph,,,,,,unknown,"Petroglyphs, as the examples shown in the Petroglyph Park located in Nanaimo, are rock carvings made by First Nation's people using stone tools.  They were intended to record important ceremonies and events.  Some petroglyphs are hundred's of years old while others were made in the last two centuries.",,http://www.discovertotems.com/sites/discovertotems.com/files/images/nanaimo%20petroglyph.JPG,,8/25/2010,,
*,Aboriginal Cultural Centre Museum,None,,Museum,,,,,,Multiple,Showcasing the artists and carver from the Squamish and Lilwat First Nations,http://www.slcc.ca/,,,9/27/2010,,
,Best Western Tin Wis Resort,None,,Accommodation,,,,,,,"Experience timeless mists and ancient rainforests at this Tla-o-qui-aht Nation-owned hotel overlooking Mackenzie Beach and the Pacific Ocean in the remote wilderness of Claqoquot Sound. Tin Wis features a Native-themed lobby, fitness and spa facilities and contemporary West Coast First Nations cuisine. Discover the Spirit. First Nations-inspired cuisine and gift shop available",http://www.aboriginalbc.com/packages/best-western-tin-wis-resort,http://www.tinwis.com,,9/27/2010,,
,Nuchatlaht Park Lodge,None,,Accommodation,,,,,,,"A two-storey fishing and safari lodge on the west coast of Vancouver Island, nestled in pristine Nuchatlitz Marine Park. Guests choose from a range of First Nations guided expeditions including kayaking, sport fishing, wildlife viewing, scuba diving and hiking. Fishing lodge, First Nations cultural/adventure tours and all inclusive packages available",http://www.aboriginalbc.com/packages/nuchatlaht-park-lodge,http://pacificsafaris.com/,,9/27/2010,,
,Thornton Motel,None,,Accommodation,,,,,,,"Owned and operated by the Ucluelet First Nation, the Thornton is a friendly and inviting 16-room motel located in the fishing village of Ucluelet, just outside world-renowned Pacific Rim National Park. The Thornton is within walking distance of all local restaurants, shops, docks and attractions.",http://www.aboriginalbc.com/packages/thornton-motel,http://www.thorntonmotel.ca/,,9/27/2010,,
,TLA-OOK Cultural Adventures,None,,Recreation activity,,,,,,,"Paddle the protected waters of Clayoquot Sound in traditional Nuu-chah-nulth dugout canoes, led by experienced local guides of the Tia-o-qui-aht First Nation.",http://www.aboriginalbc.com/packages/tla-ook-cultural-adventures,http://www.tlaook.com,,9/27/2010,,
,Aboriginal Journeys Wildlife Viewing & Adventure Tours,None,,Recreation activity,,,,,,,Whale watching in BC is considered the best in the world.  Include Grizzly bear watching from eco-sensitive viewing platforms and includes insights into local First Nations history and culture.,http://www.aboriginalbc.com/packages/aboriginal-journeys-wildlife-viewing-and-adventure-tours,http://www.aboriginaljourneys.com,,9/27/2010,,
,Culture Shock Interactive Gallery,None,,Art & Culture,,,,,,,"A multi-faceted gallery where guests can explore traditional, local art forms and book cultural tours, including a canoe paddle, traditional salmon barbeque, cedar weaving and Nusa storytelling. Interaction is encouraged as guides share the living culture of the ‘Namgis.  We at Culture Shock Interactive Gallery invite you to come and barbeque your own piece of wild BC salmon by an open fire the way our ancestors have prepared salmon since the beginning of time.",http://www.aboriginalbc.com/packages/culture-shock-interactive-gallery,http://www.cultureshockgallery.com,,9/27/2010,,
,I-HOS Gallery,None,,Art & Culture,,,,,,,"A Comox First Nation-owned gallery featuring a collection of hand-carved masks, limited-edition prints, sterling silver and 14K-gold jewellery and other traditional and contemporary Northwest Coast works of art. Customized cultural performances and workshops are also offered. Shop online or visit in person.",http://www.aboriginalbc.com/packages/i-hos-gallery,http://www.ihosgallery.com,,9/27/2010,,
,Salmon Feast,None,,Art & Culture,,,,,,,"An opportunity to experience a traditional First Nation salmon feast with family and friends – served in a longhouse on beautiful Saratoga Beach – that includes smoked salmon wraps and BBQ salmon on a stick, cornbread bannock and other delicacies served on a souvenir alder wood plate. Guests can learn more about the tradition of the longhouse from their First Nation guide through legends and a video presentation.",http://www.aboriginalbc.com/packages/salmon-feast,http://www.salmonfeast.com,,9/27/2010,,
